Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Nome Parâmetro;Unidade Medida;Média Horária;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa
A;CETESB;Dados Primários;01/06/2024;01:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;02:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;03:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;04:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;05:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;06:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;07:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,2;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;08:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,3;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;09:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,3;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;10:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;11:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;12:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,5;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;13:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,6;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;14:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,5;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;15:00;73;Congonhas;CO (Monóxido de Carbono);ppm;0,4;-;Sim;-;-;-;-;-
