Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Nome Parâmetro;Unidade Medida;Média Horária;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa
A;CETESB;Dados Primários;01/06/2024;01:00;67;Sorocaba;O3 (Ozônio);µg/m3;8;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;02:00;67;Sorocaba;O3 (Ozônio);µg/m3;4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;03:00;67;Sorocaba;O3 (Ozônio);µg/m3;9;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;04:00;67;Sorocaba;O3 (Ozônio);µg/m3;14;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;05:00;67;Sorocaba;O3 (Ozônio);µg/m3;19;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;06:00;67;Sorocaba;O3 (Ozônio);µg/m3;13;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;07:00;67;Sorocaba;O3 (Ozônio);µg/m3;5;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;08:00;67;Sorocaba;O3 (Ozônio);µg/m3;4;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;09:00;67;Sorocaba;O3 (Ozônio);µg/m3;15;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;10:00;67;Sorocaba;O3 (Ozônio);µg/m3;26;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;11:00;67;Sorocaba;O3 (Ozônio);µg/m3;33;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;12:00;67;Sorocaba;O3 (Ozônio);µg/m3;43;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;13:00;67;Sorocaba;O3 (Ozônio);µg/m3;53;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;14:00;67;Sorocaba;O3 (Ozônio);µg/m3;62;-;Sim;-;-;-;-;-
A;CETESB;Dados Primários;01/06/2024;15:00;67;Sorocaba;O3 (Ozônio);µg/m3;63;-;Sim;-;-;-;-;-
